item_code_i,item_code_j,score
496,11741,0.7260732650756836
496,1704,0.7141477465629578
497,575,0.8556171655654907
497,1316,0.8014839887619019
497,1246,0.7248128056526184
503,43218,0.8019897937774658
503,5394,0.7964439988136292
503,27921,0.7872394919395447
503,1928,0.7718236446380615
503,6835,0.7695005536079407
503,9250,0.7626017928123474
503,36380,0.7565597295761108
503,6362,0.7505332827568054
503,36379,0.7409595847129822
505,16727,0.8240705132484436
505,24953,0.7023487091064453
507,11889,0.8703850507736206
507,31218,0.7666354775428772
507,1460,0.7575816512107849
507,484,0.7494196891784668
507,920,0.7347044348716736
507,1225,0.7229215502738953
507,28726,0.7169190645217896
508,3404,0.9396008849143982
508,671,0.9374875426292419
508,11302,0.9222698211669922
508,734,0.8890955448150635
508,27002,0.8563780188560486
508,886,0.8563780188560486
508,549,0.8222329616546631
508,822,0.8220378160476685
508,1200,0.7768230438232422
512,440,0.8841363787651062
512,441,0.8174992799758911
512,632,0.7388566732406616
514,1471,0.8625141978263855
514,1207,0.8482680320739746
514,28712,0.8390868902206421
514,11899,0.8256852030754089
514,11727,0.7848340272903442
514,1206,0.752967119216919
514,2178,0.7065097689628601
515,1531,0.7746549248695374
515,1290,0.7730836868286133
515,270,0.7349253296852112
525,1395,0.831849992275238
527,652,0.7170060873031616
529,656,0.8454791903495789
529,2186,0.8068794012069702
529,12790,0.8036396503448486
529,530,0.7749412655830383
529,1049,0.752280592918396
529,531,0.7065367102622986
530,656,0.893844485282898
530,12790,0.8152279257774353
530,531,0.7851144075393677
530,529,0.7749412655830383
530,37085,0.7617626190185547
530,1049,0.7481443881988525
530,900,0.7338001728057861
530,674,0.7045917510986328
530,40579,0.7021347284317017
531,656,0.8489551544189453
531,343,0.8411758542060852
531,530,0.7851144075393677
531,12790,0.7690348029136658
531,2368,0.7684445381164551
531,37085,0.7422680854797363
531,463,0.7243369221687317
531,529,0.7065367102622986
531,1049,0.7002108097076416
539,19689,0.8121740818023682
547,1227,0.8169868588447571
547,673,0.8142302632331848
547,10764,0.804680347442627
547,30943,0.7963888049125671
547,11890,0.7963888049125671
547,14720,0.7921492457389832
547,3405,0.7840535640716553
547,3017,0.744843065738678
547,33807,0.7406366467475891
549,1200,0.8722190260887146
549,29525,0.8234429359436035
549,508,0.8222329616546631
549,671,0.7791279554367065
549,11302,0.7779775261878967
549,19434,0.7761062383651733
549,480,0.7705541849136353
549,21629,0.7670039534568787
549,19629,0.7643453478813171
552,1702,0.7103722095489502
555,242,0.933082640171051
558,1989,0.9228979349136353
558,28799,0.8968645930290222
558,1601,0.8872469067573547
558,1302,0.857963502407074
558,1397,0.8484098315238953
558,1174,0.7586104273796082
558,1067,0.7490410208702087
558,1301,0.7286971807479858
558,10775,0.7252346873283386
